OrderID,Date,Month,Quarter,Year,Category,Product,UnitPrice,Quantity,Discount,Revenue,Profit,Region,City,Channel,PaymentMethod,Rating,Returned
ORD-10000,2022-01-01,Jan 2022,Q1 2022,2022,Clothing,T-Shirt,188.01,2,10,338.42,105.56,South,Chennai,Mobile App,UPI,4.5,0
ORD-10001,2022-01-01,Jan 2022,Q1 2022,2022,Electronics,Smartphone,852.1,1,10,766.89,282.12,North,Delhi,Direct,Debit Card,4.0,0
ORD-10002,2022-01-01,Jan 2022,Q1 2022,2022,Electronics,Laptop,349.43,1,0,349.43,74.03,Central,Nagpur,Mobile App,Net Banking,5.0,0
ORD-10003,2022-01-01,Jan 2022,Q1 2022,2022,Clothing,T-Shirt,68.29,3,0,204.87,31.25,East,Patna,Marketplace,Debit Card,4.0,1
ORD-10004,2022-01-01,Jan 2022,Q1 2022,2022,Beauty,Serum,173.3,1,5,164.64,34.58,Central,Nagpur,Mobile App,UPI,4.0,0
ORD-10005,2022-01-01,Jan 2022,Q1 2022,2022,Home & Living,Curtains,735.27,1,0,735.27,221.75,East,Kolkata,Website,UPI,5.0,1
ORD-10006,2022-01-01,Jan 2022,Q1 2022,2022,Beauty,Serum,55.81,1,10,50.23,18.74,East,Bhubaneswar,Marketplace,Debit Card,4.5,0
ORD-10007,2022-01-02,Jan 2022,Q1 2022,2022,Clothing,Jacket,134.08,1,5,127.38,36.99,East,Patna,Direct,Debit Card,4.5,0
ORD-10008,2022-01-02,Jan 2022,Q1 2022,2022,Home & Living,Sofa,538.46,1,0,538.46,136.46,Central,Bhopal,Marketplace,Credit Card,4.0,0
ORD-10009,2022-01-02,Jan 2022,Q1 2022,2022,Electronics,Smartphone,1080.22,2,15,1836.37,641.51,South,Hyderabad,Website,Debit Card,4.5,0
ORD-10010,2022-01-03,Jan 2022,Q1 2022,2022,Sports,Yoga Mat,152.44,1,15,129.57,49.93,North,Delhi,Marketplace,UPI,4.5,0
ORD-10011,2022-01-03,Jan 2022,Q1 2022,2022,Electronics,Tablet,839.66,1,0,839.66,335.75,North,Amritsar,Website,UPI,3.0,0
ORD-10012,2022-01-03,Jan 2022,Q1 2022,2022,Electronics,Laptop,907.29,1,10,816.56,322.93,West,Pune,Direct,Debit Card,5.0,0
ORD-10013,2022-01-03,Jan 2022,Q1 2022,2022,Home & Living,Bedsheet,231.28,2,15,393.18,80.57,East,Bhubaneswar,Marketplace,UPI,4.5,0
ORD-10014,2022-01-04,Jan 2022,Q1 2022,2022,Books,Comic,18.88,1,5,17.94,5.48,East,Patna,Website,UPI,5.0,0
ORD-10015,2022-01-04,Jan 2022,Q1 2022,2022,Clothing,T-Shirt,69.85,1,15,59.37,12.44,North,Delhi,Website,Debit Card,3.0,0
ORD-10016,2022-01-04,Jan 2022,Q1 2022,2022,Sports,Yoga Mat,492.11,2,0,984.22,309.64,West,Mumbai,Website,Debit Card,5.0,0
ORD-10017,2022-01-05,Jan 2022,Q1 2022,2022,Beauty,Skincare Kit,202.78,1,0,202.78,73.27,South,Hyderabad,Direct,Credit Card,4.0,0
ORD-10018,2022-01-05,Jan 2022,Q1 2022,2022,Sports,Shoes,456.18,2,15,775.51,131.84,Central,Bhopal,Mobile App,COD,5.0,0
ORD-10019,2022-01-05,Jan 2022,Q1 2022,2022,Electronics,Tablet,852.78,2,5,1620.28,488.91,South,Chennai,Marketplace,COD,4.0,0
ORD-10020,2022-01-05,Jan 2022,Q1 2022,2022,Electronics,Laptop,677.92,1,5,644.02,150.4,Central,Bhopal,Mobile App,Credit Card,4.5,0
ORD-10021,2022-01-06,Jan 2022,Q1 2022,2022,Clothing,Shoes,70.98,2,10,127.76,38.58,South,Hyderabad,Marketplace,Credit Card,5.0,0
ORD-10022,2022-01-06,Jan 2022,Q1 2022,2022,Books,Fiction,62.33,1,5,59.21,11.39,North,Delhi,Direct,Net Banking,3.5,0
ORD-10023,2022-01-06,Jan 2022,Q1 2022,2022,Beauty,Lipstick,222.2,2,15,377.74,64.84,South,Chennai,Mobile App,UPI,3.0,0
ORD-10024,2022-01-06,Jan 2022,Q1 2022,2022,Sports,Cycle,207.41,2,15,352.6,76.89,West,Mumbai,Direct,Debit Card,4.5,1
ORD-10025,2022-01-06,Jan 2022,Q1 2022,2022,Electronics,Laptop,699.45,1,0,699.45,198.79,West,Ahmedabad,Website,Credit Card,4.5,0
ORD-10026,2022-01-07,Jan 2022,Q1 2022,2022,Books,Non-Fiction,60.99,1,5,57.94,15.96,East,Bhubaneswar,Mobile App,UPI,4.5,0
ORD-10027,2022-01-07,Jan 2022,Q1 2022,2022,Electronics,Headphones,224.67,1,15,190.97,49.56,West,Ahmedabad,Marketplace,UPI,4.5,0
ORD-10028,2022-01-07,Jan 2022,Q1 2022,2022,Beauty,Serum,35.07,1,15,29.81,10.39,East,Patna,Mobile App,Debit Card,4.5,0
